Month|AM Slow Days|PM Slow Days|Midweek Days
January  |12|4|13
February |12|3|12
March    |13|7|13
April    |9|6|14
May      |0|0|12
June     |1|0|13
July     |7|0|14
August   |5|2|12
September|14|13|14
October  |13|9|13
November |12|11|12
December |10|10|15
